Caller ID,Called Number,Call Date,Call Time,Call Location,Call Duration
6,+905327911992,2023-10-26,21:35:28,Sanliurfa,66
6,+905392399881,2023-09-26,02:26:12,Sanliurfa,96
6,+905385280588,2023-10-27,11:25:29,Antakya,119
6,+905336782546,2023-08-18,17:21:11,Sanliurfa,21
6,+905333988954,2023-12-26,11:57:47,Afyonkarahisar,83
6,+905327911992,2023-11-10,03:43:20,Sanliurfa,11
6,+905327911992,2023-05-13,15:37:54,Sanliurfa,60
6,+905385280588,2023-02-07,04:51:30,Antakya,94
6,+905333988954,2023-03-04,04:42:17,Afyonkarahisar,89
6,+905336782546,2023-02-18,07:31:53,Sanliurfa,59
6,+905327911992,2023-12-06,22:41:12,Sanliurfa,51
6,+905392399881,2023-04-27,08:50:55,Sanliurfa,20
6,+905336782546,2023-07-23,19:55:07,Sanliurfa,83
6,+905387487291,2023-02-18,22:34:46,Sanliurfa,91
6,+905392399881,2023-12-06,15:14:11,Sanliurfa,102
6,+905336782546,2023-06-16,11:12:07,Sanliurfa,14
6,+905387487291,2023-09-13,05:56:15,Sanliurfa,103
6,+905385280588,2023-01-09,16:51:28,Antakya,68
6,+905336782546,2023-11-05,21:23:51,Sanliurfa,20
6,+905392399881,2023-11-10,13:22:13,Sanliurfa,32
