Called Number,Call Date,Call Time,Call Location,Call Duration
+905302275409,2023-12-31,07:12:58,Tunceli,109
+905374771053,2023-08-30,21:35:49,Hatay,72
+905374771053,2023-05-11,00:15:36,Hatay,36
+905358230702,2023-08-19,11:26:40,Tunceli,69
+905358230702,2023-12-22,15:48:27,Tunceli,52
+905321751596,2023-03-27,10:20:27,Tunceli,63
+905302275409,2023-09-24,13:27:02,Tunceli,7
+905302275409,2023-09-16,11:18:14,Tunceli,95
+905308063994,2023-04-02,16:15:34,Mus,34
+905358230702,2023-09-15,14:17:22,Tunceli,9
+905374771053,2023-12-03,07:25:02,Hatay,4
+905358230702,2023-07-31,06:25:16,Tunceli,7
+905374771053,2023-10-25,15:37:35,Hatay,75
+905308063994,2023-02-02,16:53:25,Mus,107
+905308063994,2023-03-19,14:12:00,Mus,96
+905374771053,2023-01-01,04:37:36,Hatay,56
+905374771053,2023-09-19,20:11:28,Hatay,118
+905321751596,2023-01-31,10:59:49,Tunceli,95
+905308063994,2023-02-06,11:24:29,Mus,65
+905358230702,2023-08-30,14:15:53,Tunceli,90
