Called Number,Call Date,Call Time,Call Location,Call Duration
+905308598120,2023-03-12,16:40:50,Izmir,62
+905378900772,2023-06-12,02:22:11,Malatya,92
+905385036419,2023-05-31,22:44:04,Giresun,23
+905305693590,2023-06-23,19:21:07,Tunceli,87
+905337299954,2023-03-13,11:17:05,Bursa,17
+905394785410,2023-03-14,23:11:14,Bursa,66
+905360713162,2023-02-05,15:04:49,Antalya,92
+905342432573,2023-11-14,13:34:47,Giresun,58
+905337643779,2023-03-23,04:18:58,Yalova,24
+905302346902,2023-11-04,04:54:18,Izmir,87
+905369748051,2023-06-25,08:32:17,Bayburt,107
+905345454833,2023-01-03,02:32:36,Tunceli,81
+905351750239,2023-03-07,01:29:05,Antalya,118
+905329081559,2023-03-03,10:56:11,Kahramanmaras,44
+905346678387,2023-10-12,00:33:37,Adiyaman,35
+905344077685,2023-04-20,02:35:04,Giresun,64
+905320135699,2023-11-09,09:36:29,Izmir,22
+905377762403,2023-10-12,01:53:01,Karabuk,97
+905311558314,2023-03-09,12:33:35,Bursa,108
+905379302847,2023-06-14,13:43:05,Cankiri,100
