Caller ID,Called Number,Call Date,Call Time,Call Location,Call Duration
1,+905388843476,2023-11-05,15:12:41,Edirne,73
1,+905336761275,2023-09-12,06:08:34,Kilis,44
1,+905303355256,2023-04-22,12:31:12,Sakarya,120
1,+905305888755,2023-02-22,06:51:04,Kastamonu,31
1,+905396184160,2023-09-05,16:45:03,Tekirdag,36
1,+905315475450,2023-11-28,13:44:05,Kilis,104
1,+905372685364,2023-06-20,01:08:05,Kilis,60
1,+905392328169,2023-11-15,20:11:14,Aksaray,47
1,+905352426944,2023-01-30,02:56:16,Osmaniye,46
1,+905357132646,2023-03-28,05:36:08,Diyarbakir,92
1,+905332037514,2023-04-20,12:37:19,Gumushane,95
1,+905364334993,2023-04-05,13:15:44,Adana,37
1,+905375718045,2023-04-19,13:08:14,Aksaray,2
1,+905359667532,2023-01-15,18:32:58,Manisa,83
1,+905305637832,2023-03-07,19:31:42,Aksaray,1
1,+905340238862,2023-06-22,16:38:05,Bingol,51
1,+905344124859,2023-09-02,00:54:13,Diyarbakir,49
1,+905322022514,2023-11-09,14:54:13,Rize,68
1,+905336382948,2023-04-20,19:57:29,Adana,79
1,+905332582460,2023-01-17,11:57:43,Aksaray,30
2,+905370504117,2023-06-05,14:42:16,Trabzon,49
2,+905390023632,2023-09-02,04:24:03,Trabzon,56
2,+905323314686,2023-04-20,00:58:34,Aksaray,57
2,+905328979152,2023-02-21,00:52:10,Isparta,101
2,+905303335826,2023-06-07,08:21:49,Kars,3
2,+905349874892,2023-04-27,12:25:44,Bartin,51
2,+905332490300,2023-08-08,12:28:19,Bartin,95
2,+905348913134,2023-03-28,06:15:40,Isparta,77
2,+905388361467,2023-07-10,07:59:13,Isparta,16
2,+905317947067,2023-07-03,20:49:23,Bolu,54
2,+905368430337,2023-11-28,11:04:11,Samsun,26
2,+905311381768,2023-06-28,09:14:24,Kars,32
2,+905316002384,2023-08-03,12:58:24,Samsun,23
2,+905357926976,2023-04-21,04:17:44,Adana,104
2,+905346101294,2023-11-18,10:25:01,Amasra,74
2,+905359199646,2023-09-18,05:14:56,Trabzon,42
2,+905303562122,2023-12-29,18:08:49,Trabzon,40
2,+905361957069,2023-07-14,10:14:59,Adiyaman,88
2,+905315331979,2023-09-29,16:16:32,Aksaray,116
2,+905395711407,2023-11-03,11:16:18,Mersin,117
3,+905327317426,2023-06-23,10:06:21,Mersin,48
3,+905371967538,2023-04-03,17:53:45,Rize,120
3,+905352893102,2023-09-09,02:43:36,Istanbul,113
3,+905343811852,2023-09-18,11:19:27,Sinop,87
3,+905330581013,2023-12-26,16:40:17,Duzce,81
3,+905397422243,2023-06-19,19:20:40,Kayseri,24
3,+905317570563,2023-04-17,23:26:41,Aydin,15
3,+905371963875,2023-11-14,17:31:15,Istanbul,39
3,+905355994256,2023-09-03,06:56:01,Istanbul,8
3,+905305519455,2023-05-09,20:23:23,Adapazari,42
3,+905341421123,2023-08-20,14:21:16,Sinop,3
3,+905386484807,2023-07-17,20:15:11,Kayseri,75
3,+905387936437,2023-02-18,09:13:37,Mus,97
3,+905337057381,2023-09-20,04:27:49,Siirt,18
3,+905393586320,2023-06-09,17:53:52,Adiyaman,114
3,+905360694864,2023-02-28,06:07:32,Istanbul,47
3,+905358276938,2023-06-07,22:50:49,Kayseri,112
3,+905386460787,2023-12-26,11:23:53,Cankiri,66
3,+905332877270,2023-12-23,12:46:05,Yozgat,47
3,+905309461663,2023-04-25,14:46:15,Rize,28
4,+905371431830,2023-11-13,09:43:51,Kutahya,116
4,+905317735277,2023-02-22,09:40:27,Sanliurfa,88
4,+905347301602,2023-05-08,06:04:31,Kutahya,50
4,+905364974175,2023-02-19,06:46:26,Usak,11
4,+905381656811,2023-02-13,20:57:56,Amasya,45
4,+905337085870,2023-11-19,00:21:54,Sirnak,99
4,+905390240997,2023-10-25,18:27:12,Sirnak,25
4,+905330582208,2023-11-22,04:16:32,Aksaray,94
4,+905340154140,2023-07-16,05:12:27,Osmaniye,82
4,+905332409315,2023-04-29,17:34:17,Karabuk,77
4,+905362734687,2023-10-08,10:55:06,Kutahya,38
4,+905320189614,2023-06-05,05:47:37,Amasya,36
4,+905345454040,2023-03-25,13:00:41,Denizli,98
4,+905342837499,2023-07-01,04:38:51,Rize,103
4,+905399866474,2023-07-14,07:40:38,Kocaeli,54
4,+905325870142,2023-10-30,12:21:52,Kocaeli,98
4,+905398080593,2023-09-19,04:55:21,Manisa,56
4,+905382259229,2023-01-03,11:57:00,Karabuk,100
4,+905326117875,2023-11-03,15:34:11,Amasya,86
4,+905320681908,2023-09-13,01:24:17,Osmaniye,91
5,+905351821048,2023-07-30,08:08:51,Yalova,66
5,+905376315083,2023-04-05,10:47:09,Ardahan,14
5,+905339739445,2023-06-15,00:43:33,Rize,117
5,+905335824642,2023-09-10,16:40:26,Ankara,75
5,+905300849564,2023-07-23,03:12:47,Van,16
5,+905393585916,2023-07-04,10:28:23,Rize,103
5,+905374045893,2023-03-01,09:42:58,Sakarya,106
5,+905351192409,2023-07-26,09:21:36,Sinop,75
5,+905394842253,2023-11-19,01:01:22,Ardahan,38
5,+905367228795,2023-09-26,18:08:15,Canakkale,72
5,+905331861906,2023-10-22,12:03:32,Usak,17
5,+905302399934,2023-06-05,18:39:45,Diyarbakir,92
5,+905364992752,2023-08-26,09:57:09,Artvin,15
5,+905326629260,2023-11-26,19:10:00,Ankara,8
5,+905316032175,2023-06-03,12:49:49,Yalova,88
5,+905325262118,2023-09-01,19:21:45,Canakkale,19
5,+905301791226,2023-06-17,02:22:21,Ankara,8
5,+905384279289,2023-01-20,15:51:29,Bayburt,57
5,+905355396662,2023-12-05,13:39:33,Van,12
5,+905344116151,2023-02-14,05:48:42,Canakkale,75
